Date, Close/Last, Volume, Open, High, Low
02/05/2019, $2.002, 1477, $2.054, $2.06, $2.002
02/04/2019, $1.992, 1832, $2.1, $2.1598, $1.99
02/01/2019, $2.02, 6030, $2, $2.08, $1.96
01/31/2019, $2, 3859, $2.1, $2.1, $1.9602
01/30/2019, $2.0742, 1631, $2.02, $2.08, $1.9272
01/29/2019, $2.02, 2736, $2.0502, $2.0884, $2.0002
01/28/2019, $2.048, 5976, $2.02, $2.14, $2
01/25/2019, $2.06, 2318, $2.18, $2.18, $2.02
01/24/2019, $2.04, 44417, $2.32, $2.4, $2.02
01/23/2019, $2.21, 14923, $2.0502, $2.3116, $2.0502
01/22/2019, $2.04, 6274, $2.14, $2.14, $2
01/18/2019, $2.058, 26917, $2, $2.06, $2
01/17/2019, $2.076, 368, $2.1, $2.1, $1.9
01/16/2019, $2.1, 344, $2.02, $2.1, $2.02
01/15/2019, $2.08, 363, $1.9856, $2.08, $1.92
01/14/2019, $2.0902, N/A, $2.0902, $2.0902, $2.0902
01/11/2019, $2.0902, 1706, $2.18, $2.18, $1.9038
01/10/2019, $2.014, 5501, $2.04, $2.06, $2
01/09/2019, $2.06, 1452, $1.998, $2.0736, $1.998
01/08/2019, $1.98, 473, $1.9124, $1.98, $1.9124
01/07/2019, $2, 1902, $1.9, $2, $1.84
01/04/2019, $1.82, 2690, $1.804, $1.9238, $1.804
01/03/2019, $2.08, 2759, $2, $2.08, $1.9798
01/02/2019, $2.024, 7531, $2, $2.07, $1.96
12/31/2018, $1.94, 36984, $1.858, $2.12, $1.84
12/28/2018, $1.8, 9154, $1.6736, $1.8, $1.6736
12/27/2018, $1.676, 3127, $1.94, $1.94, $1.676
12/26/2018, $1.8, 8066, $1.809, $1.8398, $1.8
12/24/2018, $1.9, 738, $1.96, $1.972, $1.9
12/21/2018, $1.8002, 11428, $2.04, $2.04, $1.64
12/20/2018, $1.88, 29064, $2.14, $2.2, $1.82
12/19/2018, $2.2022, 778, $2.24, $2.32, $2.2
12/18/2018, $2.26, 7432, $2.24, $2.2708, $2.16
12/17/2018, $2.28, 3300, $2.4, $2.4, $2.24
12/14/2018, $2.3854, 1207, $2.38, $2.46, $2.38
12/13/2018, $2.4548, 1987, $2.412, $2.52, $2.4
12/12/2018, $2.36, 1742, $2.6, $2.6, $2.36
12/11/2018, $2.4, 444, $2.6, $2.6, $2.4
12/10/2018, $2.64, 11001, $2.32, $2.88, $2.32
12/07/2018, $2.3116, 19504, $2.4804, $2.4804, $2.16
12/06/2018, $2.48, N/A, $2.48, $2.48, $2.48
12/04/2018, $2.48, 4040, $2.46, $2.52, $2.46
12/03/2018, $2.58, 3932, $2.46, $2.58, $2.46
11/30/2018, $2.42, 11786, $2.48, $2.54, $2.38
11/29/2018, $2.496, 13096, $2.512, $2.54, $2.46
11/28/2018, $2.46, 12365, $2.5326, $2.5804, $2.46
11/27/2018, $2.62, 11846, $2.5002, $2.62, $2.46
11/26/2018, $2.5002, 1991, $2.58, $2.58, $2.4704
11/23/2018, $2.54, 438, $2.6094, $2.6094, $2.54
11/21/2018, $2.46, 10854, $2.62, $2.62, $2.44
11/20/2018, $2.54, 18761, $2.64, $2.6446, $2.48
11/19/2018, $2.648, 1267, $2.64, $2.678, $2.64
11/16/2018, $2.66, 1375, $2.62, $2.68, $2.62
11/15/2018, $2.7, 1577, $2.76, $2.76, $2.6
11/14/2018, $2.62, 10164, $2.72, $2.72, $2.6
11/13/2018, $2.72, 4596, $2.8, $2.88, $2.6006
11/12/2018, $2.66, 3468, $2.58, $2.6798, $2.58
11/09/2018, $2.7, 7846, $2.76, $2.76, $2.62
11/08/2018, $2.68, 3822, $2.76, $2.76, $2.66
11/07/2018, $2.76, 8224, $2.64, $2.76, $2.6
11/06/2018, $2.68, 4218, $2.6712, $2.7058, $2.62
11/05/2018, $2.7066, 19760, $2.76, $2.76, $2.5908
11/02/2018, $2.65, 48063, $2.82, $3.18, $2.56
11/01/2018, $2.82, 144286, $2.56, $3.2, $2.54
10/31/2018, $2.64, 17607, $2.64, $2.6782, $2.52
10/30/2018, $2.76, 14157, $2.76, $2.8, $2.64
10/29/2018, $2.76, 46544, $2.5686, $2.8854, $2.502
10/26/2018, $2.48, 19638, $2.62, $2.66, $2.44
10/25/2018, $2.68, 733, $2.72, $2.72, $2.54
